Año - mes,Dimensión valor,Cuenta,Imp. presupuestado,Imp. real,Desvio,Porcentaje de desviación
2023-04-01,Administración,Alquileres y expensas,-200000.0,-204863.02,-4863.02,2.4315099999999945
2023-05-01,Administración,Alquileres y expensas,-200000.0,-243364.54,-43364.54,21.682270000000003
2023-06-01,Administración,Alquileres y expensas,-200000.0,-101952.0,98048.0,-49.024
2023-07-01,Administración,Alquileres y expensas,-200000.0,-248931.95,-48931.95,24.465975000000007
2023-08-01,Administración,Alquileres y expensas,-240000.0,-416310.79,-176310.79,73.46282916666665
2023-04-01,Corralón 2 Matanza,Alquileres y expensas,-120000.0,-120000.0,0.0,-0.0
2023-05-01,Corralón 2 Matanza,Alquileres y expensas,-120000.0,-120000.0,0.0,-0.0
2023-06-01,Corralón 2 Matanza,Alquileres y expensas,-120000.0,-120000.0,0.0,-0.0
2023-07-01,Corralón 2 Matanza,Alquileres y expensas,-120000.0,-120000.0,0.0,-0.0
2023-08-01,Corralón 2 Matanza,Alquileres y expensas,-120000.0,-120000.0,0.0,-0.0
2023-04-01,Corralón 3 Barracas,Alquileres y expensas,-537500.0,-537500.15,-0.15,2.790697674851778e-05
2023-05-01,Corralón 3 Barracas,Alquileres y expensas,-537500.0,-537500.15,-0.15,2.790697674851778e-05
2023-06-01,Corralón 3 Barracas,Alquileres y expensas,-537500.0,-537500.15,-0.15,2.790697674851778e-05
2023-07-01,Corralón 3 Barracas,Alquileres y expensas,-537500.0,-537500.15,-0.15,2.790697674851778e-05
2023-08-01,Corralón 3 Barracas,Alquileres y expensas,-537500.0,-537500.15,-0.15,2.790697674851778e-05
2023-04-01,Corralón 4 JC Paz,Alquileres y expensas,-393250.0,-393250.0,0.0,-0.0
2023-05-01,Corralón 4 JC Paz,Alquileres y expensas,-393250.0,-393250.0,0.0,-0.0
2023-06-01,Corralón 4 JC Paz,Alquileres y expensas,-393250.0,-393250.0,0.0,-0.0
2023-07-01,Corralón 4 JC Paz,Alquileres y expensas,-393250.0,-393250.0,0.0,-0.0
2023-08-01,Corralón 4 JC Paz,Alquileres y expensas,-511225.0,-511225.0,0.0,-0.0
2023-04-01,Administración,Beneficios al personal,-35000.0,0.0,35000.0,-100.0
2023-05-01,Administración,Beneficios al personal,-40000.0,0.0,40000.0,-100.0
2023-06-01,Administración,Beneficios al personal,-40000.0,-23278.57,16721.43,-41.803574999999995
2023-07-01,Administración,Beneficios al personal,-40000.0,-48423.12,-8423.12,21.057800000000007
2023-08-01,Administración,Beneficios al personal,-45000.0,-108527.86,-63527.86,141.17302222222224
2023-04-01,Corralón 1 Boulogne,Beneficios al personal,-15750.0,-13231.2,2518.8,-15.992380952380946
2023-05-01,Corralón 1 Boulogne,Beneficios al personal,-13500.0,-15486.92,-1986.92,14.717925925925925
2023-06-01,Corralón 1 Boulogne,Beneficios al personal,-53415.48,-14039.92,39375.56,-73.71563449397067
2023-07-01,Corralón 1 Boulogne,Beneficios al personal,-15750.0,-13606.66,2143.34,-13.608507936507937
2023-08-01,Corralón 1 Boulogne,Beneficios al personal,-18900.0,-2315.35,16584.65,-87.74947089947091
2023-04-01,Corralón 2 Matanza,Beneficios al personal,-7000.0,-9923.4,-2923.4,41.762857142857136
2023-05-01,Corralón 2 Matanza,Beneficios al personal,-6000.0,-11615.19,-5615.19,93.5865
2023-06-01,Corralón 2 Matanza,Beneficios al personal,-23740.21,-10529.94,13210.27,-55.64512698076386
2023-07-01,Corralón 2 Matanza,Beneficios al personal,-7000.0,-10205.0,-3205.0,45.785714285714285
2023-08-01,Corralón 2 Matanza,Beneficios al personal,-8400.0,-1736.51,6663.49,-79.3272619047619
2023-04-01,Corralón 3 Barracas,Beneficios al personal,-7000.0,-6615.6,384.4,-5.491428571428567
2023-05-01,Corralón 3 Barracas,Beneficios al personal,-6000.0,-7743.46,-1743.46,29.057666666666666
2023-06-01,Corralón 3 Barracas,Beneficios al personal,-23740.21,-7019.96,16720.25,-70.43008465384257
2023-07-01,Corralón 3 Barracas,Beneficios al personal,-7000.0,-6803.33,196.67,-2.8095714285714295
2023-08-01,Corralón 3 Barracas,Beneficios al personal,-8400.0,-1157.68,7242.32,-86.21809523809524
2023-04-01,Corralón 4 JC Paz,Beneficios al personal,-5250.0,-3307.8,1942.2,-36.99428571428571
2023-05-01,Corralón 4 JC Paz,Beneficios al personal,-4500.0,-3871.73,628.27,-13.961555555555554
2023-06-01,Corralón 4 JC Paz,Beneficios al personal,-17805.16,-3509.98,14295.18,-80.28672587047801
2023-07-01,Corralón 4 JC Paz,Beneficios al personal,-5250.0,-3401.67,1848.33,-35.20628571428571
2023-08-01,Corralón 4 JC Paz,Beneficios al personal,-6300.0,-578.84,5721.16,-90.81206349206349
2023-06-01,Administración,Capacitación ,-125000.0,0.0,125000.0,-100.0
2023-07-01,Administración,Capacitación ,-125000.0,0.0,125000.0,-100.0
2023-04-01,Corralón 1 Boulogne,Capacitación ,-30825.0,0.0,30825.0,-100.0
2023-05-01,Corralón 1 Boulogne,Capacitación ,-32895.0,0.0,32895.0,-100.0
2023-06-01,Corralón 1 Boulogne,Capacitación ,-35130.6,0.0,35130.6,-100.0
2023-07-01,Corralón 1 Boulogne,Capacitación ,-37545.05,0.0,37545.05,-100.0
2023-08-01,Corralón 1 Boulogne,Capacitación ,-40152.65,-11340.0,28812.65,-71.7577793744622
2023-04-01,Corralón 2 Matanza,Capacitación ,-13700.0,0.0,13700.0,-100.0
2023-05-01,Corralón 2 Matanza,Capacitación ,-14620.0,0.0,14620.0,-100.0
